season,team,proj_wins,posted,posted_as_of,posted_source,vs_posted,certified,claim,generated_at
2026,ARI,5.196017148768442,3.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),1.6960171487684423,Yes,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,ATL,7.27154907170819,7.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),-0.22845092829181013,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,BAL,10.211624160657577,11.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),-1.2883758393424234,Yes,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,BUF,9.753817529794889,10.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),-0.7461824702051114,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,CAR,7.911235366658692,7.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),0.4112353666586923,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,CHI,9.680467766493482,9.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),0.18046776649348217,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,CIN,9.834344176581402,10.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),-0.6656558234185983,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,CLE,5.856092428675776,5.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),0.35609242867577606,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,DAL,9.071400812105855,9.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),-0.42859918789414486,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,DEN,8.853942712464217,9.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),-0.6460572875357826,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,DET,10.010313901296838,10.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),-0.48968609870316193,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,GB,9.881252340017337,9.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),0.3812523400173369,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,HOU,9.093068124214309,9.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),-0.40693187578569123,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,IND,8.307272077636766,7.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),0.8072720776367657,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,JAX,6.98001787226818,8.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),-1.5199821277318204,Yes,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,KC,9.602299553944958,10.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),-0.8977004460550422,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,LA,10.565075044322134,11.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),-0.9349249556778663,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,LAC,8.95805615733356,9.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),-0.5419438426664396,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,LV,5.699690422578887,5.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),0.19969042257888692,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,MIA,5.363263558938085,3.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),1.863263558938085,Yes,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,MIN,8.909408582923927,8.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),0.4094085829239269,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,NE,10.369144805916124,10.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),-0.13085519408387647,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,NO,7.49015450107646,7.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),-0.009845498923540141,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,NYG,8.52314832735332,7.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),1.0231483273533204,Yes,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,NYJ,6.365557433954546,5.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),0.865557433954546,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,PHI,10.546915714624864,10.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),0.046915714624864435,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,PIT,8.159419340338863,8.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),-0.3405806596611374,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,SEA,10.93355726392418,10.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),0.4335572639241807,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,SF,9.540856069772856,9.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),0.04085606977285572,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,TB,8.728611060846704,8.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),0.22861106084670446,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,TEN,6.648980384055538,6.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),0.14898038405553837,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
2026,WAS,7.683446288753016,7.5,2026-08-17,DraftKings sportsbook (manual paste by Joseph),0.18344628875301616,,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-25T16:33:54.758540+00:00
